name,code
ACCESS BANK NIGERIA PLC,044
DIAMOND BANK PLC,063
ECOBANK NIGERIA,050
ENTERPRISE BANK PLC,084
FIDELITY BANK PLC,070
FIRST BANK OF NIGERIA PLC,011
FIRST CITY MONUMENT BANK,214
GLOBUS BANK,103
GUARANTY TRUST BANK PLC,058
HERITAGE BANK,030
JAIZ BANK,301
KEYSTONE BANK LTD,082
LOTUS BANK LIMITED,303
MAINSTREET BANK PLC,014
NPF MICROFINANCE BANK,473
PARALLEX BANK LIMITED,104
POLARIS BANK,076
PREMIUM TRUST BANK LTD,105
PROVIDUS BANK,101
SIGNATURE BANK LTD,106
STANBIC IBTC PLC,039
STERLING BANK PLC,232
UNION BANK NIGERIA PLC,032
UNITED BANK FOR AFRICA PLC,033
UNITY BANK PLC,215
WEMA BANK PLC,035
ZENITH BANK INTERNATIONAL,057
CITIBANK,023
STANDARD CHARTERED BANK,068